
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:80             Senne-PC:0             LISTENING       4
  TCP    0.0.0.0:135            Senne-PC:0             LISTENING       940
  TCP    0.0.0.0:445            Senne-PC:0             LISTENING       4
  TCP    0.0.0.0:990            Senne-PC:0             LISTENING       4884
  TCP    0.0.0.0:1025           Senne-PC:0             LISTENING       708
  TCP    0.0.0.0:1026           Senne-PC:0             LISTENING       1156
  TCP    0.0.0.0:1027           Senne-PC:0             LISTENING       1228
  TCP    0.0.0.0:1028           Senne-PC:0             LISTENING       1956
  TCP    0.0.0.0:1044           Senne-PC:0             LISTENING       772
  TCP    0.0.0.0:1045           Senne-PC:0             LISTENING       764
  TCP    0.0.0.0:2179           Senne-PC:0             LISTENING       3812
  TCP    0.0.0.0:2343           Senne-PC:0             LISTENING       2788
  TCP    0.0.0.0:2869           Senne-PC:0             LISTENING       4
  TCP    0.0.0.0:3580           Senne-PC:0             LISTENING       2400
  TCP    0.0.0.0:3636           Senne-PC:0             LISTENING       6292
  TCP    0.0.0.0:3689           Senne-PC:0             LISTENING       5060
  TCP    0.0.0.0:5357           Senne-PC:0             LISTENING       4
  TCP    0.0.0.0:6646           Senne-PC:0             LISTENING       8248
  TCP    0.0.0.0:8080           Senne-PC:0             LISTENING       7796
  TCP    0.0.0.0:8088           Senne-PC:0             LISTENING       6292
  TCP    0.0.0.0:17500          Senne-PC:0             LISTENING       10904
  TCP    0.0.0.0:59110          Senne-PC:0             LISTENING       2332
  TCP    0.0.0.0:59111          Senne-PC:0             LISTENING       3472
  TCP    127.0.0.1:1029         Senne-PC:5354          ESTABLISHED     2492
  TCP    127.0.0.1:1030         Senne-PC:1031          ESTABLISHED     2788
  TCP    127.0.0.1:1031         Senne-PC:1030          ESTABLISHED     2788
  TCP    127.0.0.1:1032         Senne-PC:5354          ESTABLISHED     2492
  TCP    127.0.0.1:1033         Senne-PC:activesync    ESTABLISHED     2332
  TCP    127.0.0.1:1034         Senne-PC:1033          ESTABLISHED     2332
  TCP    127.0.0.1:1035         Senne-PC:1036          ESTABLISHED     3392
  TCP    127.0.0.1:1036         Senne-PC:1035          ESTABLISHED     3392
  TCP    127.0.0.1:1037         Senne-PC:1038          ESTABLISHED     3472
  TCP    127.0.0.1:1038         Senne-PC:1037          ESTABLISHED     3472
  TCP    127.0.0.1:1042         Senne-PC:0             LISTENING       4636
  TCP    127.0.0.1:5354         Senne-PC:0             LISTENING       2580
  TCP    127.0.0.1:5354         Senne-PC:1029          ESTABLISHED     2580
  TCP    127.0.0.1:5354         Senne-PC:1032          ESTABLISHED     2580
  TCP    127.0.0.1:5354         Senne-PC:48895         ESTABLISHED     2580
  TCP    127.0.0.1:5354         Senne-PC:48896         ESTABLISHED     2580
  TCP    127.0.0.1:5354         Senne-PC:48897         ESTABLISHED     2580
  TCP    127.0.0.1:5354         Senne-PC:48901         ESTABLISHED     2580
  TCP    127.0.0.1:5354         Senne-PC:48902         ESTABLISHED     2580
  TCP    127.0.0.1:5354         Senne-PC:48903         ESTABLISHED     2580
  TCP    127.0.0.1:5679         Senne-PC:0             LISTENING       4884
  TCP    127.0.0.1:7438         Senne-PC:0             LISTENING       4884
  TCP    127.0.0.1:19872        Senne-PC:48770         ESTABLISHED     10904
  TCP    127.0.0.1:27015        Senne-PC:0             LISTENING       2492
  TCP    127.0.0.1:27015        Senne-PC:48740         ESTABLISHED     2492
  TCP    127.0.0.1:27015        Senne-PC:48892         ESTABLISHED     2492
  TCP    127.0.0.1:27015        Senne-PC:48912         ESTABLISHED     2492
  TCP    127.0.0.1:48740        Senne-PC:27015         ESTABLISHED     1312
  TCP    127.0.0.1:48770        Senne-PC:19872         ESTABLISHED     10904
  TCP    127.0.0.1:48892        Senne-PC:27015         ESTABLISHED     5060
  TCP    127.0.0.1:48895        Senne-PC:5354          ESTABLISHED     5060
  TCP    127.0.0.1:48896        Senne-PC:5354          ESTABLISHED     5060
  TCP    127.0.0.1:48897        Senne-PC:5354          ESTABLISHED     5060
  TCP    127.0.0.1:48901        Senne-PC:5354          ESTABLISHED     5060
  TCP    127.0.0.1:48902        Senne-PC:5354          ESTABLISHED     5060
  TCP    127.0.0.1:48903        Senne-PC:5354          ESTABLISHED     5060
  TCP    127.0.0.1:48912        Senne-PC:27015         ESTABLISHED     5060
  TCP    127.0.0.1:59243        Senne-PC:0             LISTENING       168
  TCP    192.168.1.6:139        Senne-PC:0             LISTENING       4
  TCP    192.168.1.6:2869       192.168.1.1:1758       TIME_WAIT       0
  TCP    192.168.1.6:2869       192.168.1.1:2010       TIME_WAIT       0
  TCP    192.168.1.6:2869       192.168.1.1:3152       TIME_WAIT       0
  TCP    192.168.1.6:2869       192.168.1.1:3293       TIME_WAIT       0
  TCP    192.168.1.6:2869       192.168.1.1:3731       TIME_WAIT       0
  TCP    192.168.1.6:2869       192.168.1.1:4080       TIME_WAIT       0
  TCP    192.168.1.6:48640      cloud:https            ESTABLISHED     3604
  TCP    192.168.1.6:48647      157.55.236.90:https    ESTABLISHED     10480
  TCP    192.168.1.6:48649      83.219.69.27:8111      ESTABLISHED     10596
  TCP    192.168.1.6:48650      83.219.69.27:8111      ESTABLISHED     10596
  TCP    192.168.1.6:48653      ec2-54-225-238-240:https  ESTABLISHED     10596
  TCP    192.168.1.6:48655      fa-in-f94:https        ESTABLISHED     10596
  TCP    192.168.1.6:48657      ea-in-f84:https        ESTABLISHED     10596
  TCP    192.168.1.6:48660      49:https               ESTABLISHED     10596
  TCP    192.168.1.6:48661      ee-in-f95:https        ESTABLISHED     10596
  TCP    192.168.1.6:48664      49:https               ESTABLISHED     10596
